fact_id,absences,risk_label,checkpoint_week,age,sex_M,address_U
1,4.0,0,8,18.0,False,True
2,2.0,0,4,17.0,False,True
3,6.0,0,12,15.0,False,True
4,0.0,0,12,15.0,False,True
5,0.0,0,4,16.0,False,True
6,6.0,0,4,16.0,True,True
7,0.0,0,8,16.0,True,True
8,2.0,0,8,17.0,False,True
9,0.0,0,12,15.0,True,True
10,0.0,0,12,15.0,True,True
11,2.0,0,8,15.0,False,True
12,0.0,0,12,15.0,False,True
13,0.0,0,8,15.0,True,True
14,0.0,0,8,15.0,True,True
15,0.0,0,4,15.0,True,True
16,6.0,0,8,16.0,False,True
17,10.0,0,12,16.0,False,True
18,2.0,0,8,16.0,False,True
19,2.0,1,8,17.0,True,True
20,6.0,0,4,16.0,True,True
21,0.0,0,8,15.0,True,True
22,0.0,0,12,15.0,True,True
23,0.0,0,4,16.0,True,True
24,2.0,0,8,16.0,True,True
25,2.0,0,4,15.0,False,False
26,6.0,0,4,16.0,False,True
27,8.0,0,4,15.0,True,True
28,0.0,0,8,15.0,True,True
29,2.0,0,8,16.0,True,True
30,4.0,0,4,16.0,True,True
31,0.0,0,4,15.0,True,True
32,2.0,0,12,15.0,True,True
33,0.0,0,8,15.0,True,False
34,0.0,0,4,15.0,True,True
35,4.0,0,4,16.0,True,True
36,4.0,0,4,15.0,False,True
37,0.0,0,4,15.0,True,True
38,4.0,0,8,16.0,True,False
39,2.0,0,4,15.0,False,False
40,8.0,0,8,15.0,False,False
41,16.0,0,4,16.0,False,True
42,8.0,0,12,15.0,True,True
43,0.0,0,8,15.0,True,True
44,0.0,0,4,15.0,True,True
45,14.0,0,4,16.0,False,True
46,4.0,0,12,15.0,False,True
47,6.0,0,12,16.0,False,True
48,2.0,0,4,16.0,True,True
49,4.0,0,8,15.0,True,True
50,2.0,0,4,15.0,False,True
51,0.0,0,12,16.0,False,True
52,0.0,0,8,15.0,False,True
53,4.0,1,8,15.0,True,True
54,0.0,0,12,15.0,False,True
55,0.0,0,12,15.0,False,True
56,2.0,0,12,16.0,False,True
57,0.0,0,12,15.0,False,True
58,8.0,0,8,15.0,True,True
59,0.0,0,4,15.0,True,True
60,2.0,0,4,16.0,False,True
61,0.0,0,8,16.0,False,False
62,0.0,0,12,16.0,False,True
63,0.0,0,8,16.0,False,True
64,0.0,0,8,16.0,False,True
65,0.0,0,4,15.0,False,True
66,2.0,0,4,16.0,False,True
67,0.0,0,4,15.0,True,True
68,0.0,0,4,16.0,False,True
69,0.0,0,4,15.0,False,False
70,6.0,0,8,15.0,False,False
71,2.0,0,8,16.0,True,True
72,0.0,0,12,15.0,True,True
73,2.0,0,12,15.0,False,False
74,0.0,0,8,16.0,True,True
75,4.0,0,4,16.0,False,True
76,0.0,0,12,15.0,True,True
77,0.0,0,12,15.0,True,True
78,1.0,0,8,16.0,False,True
79,0.0,0,12,17.0,True,True
80,14.0,0,12,16.0,False,True
81,0.0,0,8,15.0,True,True
82,2.0,1,4,15.0,True,True
83,4.0,0,12,15.0,False,True
84,2.0,0,8,15.0,True,True
85,2.0,0,4,15.0,False,True
86,4.0,0,8,15.0,False,True
87,6.0,0,8,16.0,False,True
88,4.0,0,4,15.0,False,True
89,6.0,0,12,16.0,True,True
90,6.0,0,12,16.0,True,True
91,2.0,0,4,16.0,False,True
92,6.0,0,4,15.0,False,True
93,0.0,0,8,16.0,False,True
94,2.0,0,4,16.0,False,True
95,2.0,0,8,15.0,True,True
96,4.0,0,4,15.0,False,False
97,6.0,0,8,16.0,True,False
98,0.0,0,12,16.0,False,True
99,4.0,0,8,16.0,False,True
100,2.0,0,4,16.0,False,True
101,12.0,1,8,16.0,True,True
102,0.0,0,8,16.0,True,True
103,2.0,0,4,15.0,True,True
104,16.0,0,4,15.0,False,True
105,0.0,0,12,15.0,True,True
106,10.0,0,8,15.0,False,True
107,4.0,0,8,15.0,False,True
108,4.0,0,4,16.0,True,True
109,8.0,0,4,15.0,True,False
110,2.0,0,8,16.0,False,True
111,4.0,0,12,15.0,True,True
112,4.0,0,4,16.0,False,False
113,12.0,0,4,16.0,False,True
114,10.0,0,4,15.0,True,True
115,4.0,0,8,15.0,True,False
116,6.0,0,8,16.0,True,True
117,4.0,0,4,15.0,True,True
118,6.0,0,4,16.0,True,True
119,14.0,0,12,17.0,True,False
120,2.0,0,4,15.0,True,True
121,0.0,0,8,15.0,False,True
122,6.0,0,4,15.0,True,True
123,2.0,0,12,16.0,False,True
124,4.0,0,12,16.0,True,True
125,0.0,0,8,16.0,False,True
126,2.0,1,4,15.0,True,True
127,0.0,0,12,15.0,False,True
128,0.0,0,8,19.0,False,True
129,8.0,0,8,16.0,True,False
130,4.0,0,8,16.0,True,True
131,0.0,0,8,15.0,False,False
132,10.0,1,4,18.0,False,True
133,8.0,0,8,17.0,False,True
134,6.0,0,8,15.0,False,True
135,2.0,0,12,17.0,False,True
136,12.0,0,4,16.0,False,True
137,4.0,0,4,16.0,True,True
138,12.0,0,8,16.0,False,True
139,2.0,0,8,15.0,True,False
140,4.0,0,4,15.0,False,True
141,2.0,0,12,17.0,True,False
142,0.0,0,4,16.0,False,False
143,2.0,0,8,18.0,True,True
144,10.0,0,4,18.0,False,True
145,8.0,0,12,16.0,False,False
146,4.0,0,4,16.0,False,True
147,0.0,0,4,16.0,True,True
148,6.0,0,12,15.0,False,True
149,2.0,1,12,15.0,False,False
150,6.0,0,12,15.0,True,True
151,24.0,1,12,15.0,False,True
152,0.0,0,12,16.0,True,True
153,4.0,0,12,16.0,True,True
154,2.0,0,4,15.0,False,True
155,4.0,0,8,16.0,False,True
156,22.0,1,4,17.0,True,True
157,0.0,0,8,15.0,False,True
158,0.0,0,8,15.0,False,True
159,2.0,0,8,15.0,False,True
160,6.0,0,4,15.0,False,True
161,6.0,0,4,15.0,False,True
162,16.0,1,8,16.0,True,True
163,0.0,0,12,15.0,True,True
164,0.0,1,12,18.0,True,True
165,6.0,0,4,16.0,True,True
166,2.0,0,4,15.0,False,False
167,6.0,0,4,19.0,True,True
168,0.0,0,12,17.0,False,True
169,0.0,1,8,15.0,True,False
170,14.0,0,8,17.0,True,False
171,6.0,0,8,18.0,False,False
172,4.0,0,4,16.0,True,False
173,0.0,1,8,16.0,True,True
174,0.0,0,12,16.0,True,True
175,8.0,1,12,17.0,True,False
176,4.0,1,8,17.0,True,False
177,2.0,0,12,15.0,True,True
178,2.0,1,4,16.0,True,True
179,0.0,1,4,17.0,True,False
180,10.0,1,4,17.0,True,True
181,0.0,0,4,16.0,True,True
182,0.0,0,4,16.0,False,True
183,0.0,0,12,16.0,False,True
184,0.0,0,4,16.0,False,True
185,4.0,0,8,16.0,True,True
186,0.0,0,12,16.0,True,True
187,0.0,0,4,17.0,True,True
188,0.0,0,8,16.0,False,True
189,0.0,0,12,16.0,False,True
190,0.0,0,4,17.0,True,True
191,0.0,0,4,16.0,False,True
192,4.0,0,4,17.0,True,True
193,8.0,0,12,16.0,True,False
194,4.0,0,12,17.0,True,True
195,4.0,0,12,16.0,True,True
196,0.0,0,4,16.0,True,True
